Mês;Ano;Instalação Portuária;Nome do Berço;Terminal;Mercadoria-Capítulo (SH2);Quantidade de Conteiner (u);Quantidade TEU;Somatório Peso Bruto Conteiner (t);Somatório Carga Geral Solta (t);Somatório Granel Sólido (t);Somatório Granel Líquido (t);Somatório de Carga Bruta (t)
7;2018;Suape;Pier de Granéis Líquidos 1 - Berço Oeste;Píer de Graneis Líquidos 1;Produtos químicos orgânicos;0;0;0;0;0;45.689,00;45.689,00
7;2018;Suape;Pier de Granéis Líquidos 2 - Berço Leste;Píer de Graneis Líquidos 2;"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais";0;0;0;0;0;182.535,00;182.535,00
7;2018;Suape;Pier de Granéis Líquidos 2 - Berço Oeste;Píer de Graneis Líquidos 2;"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais";0;0;0;0;0;201.635,00;201.635,00
7;2018;Suape;Pier de Granéis Líquidos 3 - A;Píer de Graneis Líquidos 3A;"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais";0;0;0;0;0;584.628,00;584.628,00
7;2018;Suape;Pier de Granéis Líquidos 3 - B;Píer de Graneis Líquidos 3B;"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais";0;0;0;0;0;381.172,00;381.172,00
7;2018;Suape;Porto Interno - Berço 01;Cais 1;Contêineres;1.351,00;2.107,00;32.644,00;0;0;0;32.644,00
7;2018;Suape;Porto Interno - Berço 01;Cais 1;Obras de ferro fundido, ferro ou aço;0;0;0;3.837,00;0;0;3.837,00
7;2018;Suape;Porto Interno - Berço 02 - TECON;Tecon Suape;Contêineres;14.481,00;24.266,00;263.941,00;0;0;0;263.941,00
7;2018;Suape;Porto Interno - Berço 03 - TECON;Tecon Suape;Contêineres;7.023,00;12.119,00;141.536,00;0;0;0;141.536,00
7;2018;Suape;Porto Interno - Berço 04;Cais 4;Cereais;0;0;0;0;53.750,00;0;53.750,00
7;2018;Suape;Porto Interno - Berço 04;Cais 4;Níquel e suas obras;0;0;0;61;0;0;61
7;2018;Suape;Porto Interno - Berço 04;Cais 4;Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios;0;0;0;7.998,00;0;0;7.998,00
